Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:42,-132316.43818938648,4.817675227093141,205.13761781689246,2194.6075483173,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:43,-132942.98928272666,4.77885570397347,204.97348346432267,2198.042660252733,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:44,-133566.4323336323,4.739930309639046,204.80988739149586,2201.4939595922137,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:45,-134186.77214487805,4.700900620701081,204.64682935111296,2204.9613658985318,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:46,-134804.01370809192,4.661768202219533,204.48430906402928,2208.444798862201,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:47,-135418.1622001734,4.622534607666393,204.32232621974768,2211.944178304459,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:48,-136029.2229802502,4.58320137883184,204.16088047678716,2215.459424185343,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:49,-136637.20158559503,4.543770045825936,203.9999714633165,2218.990456603725,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:50,-137242.10372868166,4.50424212699452,203.8395987775002,2222.5371958050346,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:51,-137843.93529375328,4.464619128887415,203.67976198796697,2226.0995621847087,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:52,-138442.70233339493,4.424902546213905,203.52046063429086,2229.677476292938,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:53,-139038.41106527983,4.385093861809021,203.36169422741975,2233.2708588386718,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:54,-139631.06786851474,4.345194546613478,203.20346225022496,2236.8796306926924,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:55,-140220.67928159054,4.305206059573475,203.04576415761179,2240.5037128980084,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:56,-140807.2519972644,4.265129847725151,202.88859937747014,2244.1430266639436,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:57,-141390.79286007216,4.224967346121778,202.7319673109185,2247.797493374512,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:58,-141971.30886368558,4.1847199777844475,202.57586733258555,2251.467034594929,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:59,-142548.8071478484,4.144389153663895,202.42029879102122,2255.151572077416,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:00,-143123.29499362817,4.10397627274754,202.26526100955238,2258.851027753835,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:01,-143694.77982178368,4.063482721924954,202.1107532863232,2262.56532375062,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:02,-144263.2691889659,4.022909876044913,201.95677489489975,2266.294382386374,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:03,-144828.77078522183,3.9822590978553243,201.80332508454634,2270.0381261804287,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:04,-145391.2924298239,3.941531738088262,201.65040308094615,2273.796477848136,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:05,-145950.8420692969,3.90072913537203,201.49800808634504,2277.569360312429,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:06,-146507.42777400176,3.859852616283948,201.3461392800686,2281.356696702414,286.7598810322222
